P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.007646 
0.0098692327,     0.385280 
0.0986923267,    15.038671 
0.1480384900,    24.931918 
0.1973846533,    34.824316 
0.2467308167,    43.401155 
0.2960769800,    53.541627 
0.3454231434,    62.109120 
0.3947693067,    73.995035 
0.4441154700,    80.208368 
0.4934616334,    89.410915 
0.5428077967,    99.504661 
0.5921539600,    98.915909 
0.6415001234,   110.872763 
0.6908462867,   119.489106 
0.7401924500,   130.918377 
0.7895386134,   140.592861 
0.8388847767,   146.466366 
0.8882309400,   156.660786 
0.9375771034,   166.517927 
