P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.002547 
0.0000986923,     0.017102 
0.0009869233,     0.165198 
0.0098692327,     1.768785 
0.0986923267,    16.985938 
0.1480384900,    25.233112 
0.1973846533,    34.149447 
0.2467308167,    42.334398 
0.2960769800,    47.355476 
0.3454231434,    55.098686 
0.3947693067,    60.659751 
0.4441154700,    70.936970 
0.4934616334,    75.522857 
0.5428077967,    81.997243 
0.5921539600,    87.148951 
0.6415001234,    94.733149 
0.6908462867,   103.597086 
0.7401924500,   107.186326 
0.7895386134,   111.948691 
0.8388847767,   119.904402 
0.8882309400,   122.316878 
0.9375771034,   128.665363 
