P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.005822 
0.0098692327,     0.356959 
0.0986923267,    13.378869 
0.1480384900,    21.595841 
0.1973846533,    30.510720 
0.2467308167,    38.695671 
0.2960769800,    43.716750 
0.3454231434,    51.459960 
0.3947693067,    57.021025 
0.4441154700,    67.298244 
0.4934616334,    71.884130 
0.5428077967,    78.358516 
0.5921539600,    83.510225 
0.6415001234,    91.094422 
0.6908462867,    99.958360 
0.7401924500,   103.547599 
0.7895386134,   104.671238 
0.8388847767,   112.626949 
0.8882309400,   115.039425 
0.9375771034,   121.387911 
