P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000392 
0.0000098692,     0.003528 
0.0000986923,     0.034297 
0.0009869233,     0.369623 
0.0098692327,     3.740522 
0.0986923267,    34.048038 
0.1480384900,    45.730162 
0.1973846533,    56.411992 
0.2467308167,    66.730078 
0.2960769800,    79.640228 
0.3454231434,    87.789964 
0.3947693067,   101.828386 
0.4441154700,   107.841912 
0.4934616334,   119.171660 
0.5428077967,   127.917967 
0.5921539600,   140.645657 
0.6415001234,   146.319743 
0.6908462867,   150.559432 
0.7401924500,   161.698684 
0.7895386134,   170.780317 
0.8388847767,   176.935343 
0.8882309400,   188.451862 
0.9375771034,   193.987387 
