P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000185 
0.0009869233,     0.019104 
0.0098692327,     1.438760 
0.0986923267,    22.780704 
0.1480384900,    31.129666 
0.1973846533,    39.441717 
0.2467308167,    48.290359 
0.2960769800,    59.082634 
0.3454231434,    65.064329 
0.3947693067,    67.497812 
0.4441154700,    77.213753 
0.4934616334,    82.903504 
0.5428077967,    91.209620 
0.5921539600,    99.040354 
0.6415001234,   104.862908 
0.6908462867,   112.991335 
0.7401924500,   117.789118 
0.7895386134,   124.972159 
0.8388847767,   130.488116 
0.8882309400,   134.436034 
0.9375771034,   140.968787 
