P/P0, absolute[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000244 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.001464 
0.0000986923,     0.014394 
0.0009869233,     0.099292 
0.0098692327,     1.093185 
0.0986923267,    11.052365 
0.1480384900,    15.764940 
0.1973846533,    21.428472 
0.2467308167,    26.202526 
0.2960769800,    32.406429 
0.3454231434,    37.584480 
0.3947693067,    42.096277 
0.4441154700,    45.935232 
0.4934616334,    49.626347 
0.5428077967,    54.434311 
0.5921539600,    60.401329 
0.6415001234,    63.030730 
0.6908462867,    67.192688 
0.7401924500,    70.891122 
0.7895386134,    77.753473 
0.8388847767,    81.315290 
0.8882309400,    86.015667 
0.9375771034,    91.139072 
