P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.002052 
0.0009869233,     0.173155 
0.0098692327,     7.316128 
0.0986923267,    75.172188 
0.1480384900,   101.560784 
0.1973846533,   125.781990 
0.2467308167,   147.129076 
0.2960769800,   165.006388 
0.3454231434,   178.979628 
0.3947693067,   187.586339 
0.4441154700,   202.671364 
0.4934616334,   209.914125 
0.5428077967,   223.398170 
0.5921539600,   230.178158 
0.6415001234,   240.305300 
0.6908462867,   246.406520 
0.7401924500,   252.191186 
0.7895386134,   259.281827 
0.8388847767,   265.218614 
0.8882309400,   271.605347 
0.9375771034,   274.479980 
