P/P0, excess[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000000,     0.010000 
0.0000009869,     0.000000,     0.100000 
0.0000098692,     0.000000,     1.000000 
0.0000986923,     0.004983,    10.000000 
0.0009869233,     0.321431,   100.000000 
0.0098692327,     7.459225,  1000.000000 
0.0986923267,    40.019429, 10000.000000 
0.1480384900,    50.838731, 15000.000000 
0.1973846533,    57.405368, 20000.000000 
0.2467308167,    64.865146, 25000.000000 
0.2960769800,    72.120881, 30000.000000 
0.3454231434,    79.580521, 35000.000000 
0.3947693067,    82.955133, 40000.000000 
0.4441154700,    87.528121, 45000.000000 
0.4934616334,    92.055290, 50000.000000 
0.5428077967,    96.305740, 55000.000000 
0.5921539600,    98.367634, 60000.000000 
0.6415001234,   104.249188, 65000.000000 
0.6908462867,   106.289625, 70000.000000 
0.7401924500,   107.709903, 75000.000000 
0.7895386134,   113.158729, 80000.000000 
0.8388847767,   115.898923, 85000.000000 
0.8882309400,   115.961631, 90000.000000 
0.9375771034,   118.068099, 95000.000000 
