P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000000 
0.0009869233,     0.000731 
0.0098692327,     0.059199 
0.0986923267,     4.204610 
0.1480384900,     7.599433 
0.1973846533,    12.143891 
0.2467308167,    15.945800 
0.2960769800,    20.179645 
0.3454231434,    25.213045 
0.3947693067,    29.302911 
0.4441154700,    32.200752 
0.4934616334,    38.320934 
0.5428077967,    41.444609 
0.5921539600,    43.781154 
0.6415001234,    50.179060 
0.6908462867,    52.568957 
0.7401924500,    56.142839 
0.7895386134,    61.708302 
0.8388847767,    61.625716 
0.8882309400,    69.858800 
0.9375771034,    72.613394 
