P/P0, absolute[cm3 (STP)/gr framework], P[Pa]
0.0000000010,     0.000000,     0.000100 
0.0000000099,     0.000000,     0.001000 
0.0000000987,     0.000974,     0.010000 
0.0000009869,     0.002273,     0.100000 
0.0000098692,     0.033116,     1.000000 
0.0000986923,     0.310707,    10.000000 
0.0009869233,     2.730779,   100.000000 
0.0098692327,    12.925828,  1000.000000 
0.0986923267,    32.782335, 10000.000000 
0.1480384900,    39.068874, 15000.000000 
0.1973846533,    45.319374, 20000.000000 
0.2467308167,    50.432888, 25000.000000 
0.2960769800,    53.280061, 30000.000000 
0.3454231434,    57.390028, 35000.000000 
0.3947693067,    60.964293, 40000.000000 
0.4441154700,    64.053181, 45000.000000 
0.4934616334,    66.156864, 50000.000000 
0.5428077967,    69.371398, 55000.000000 
0.5921539600,    71.506737, 60000.000000 
0.6415001234,    74.735718, 65000.000000 
0.6908462867,    76.029356, 70000.000000 
0.7401924500,    78.528322, 75000.000000 
0.7895386134,    79.432035, 80000.000000 
0.8388847767,    81.248875, 85000.000000 
0.8882309400,    84.934176, 90000.000000 
0.9375771034,    87.266426, 95000.000000 
