# Name, Value, Error(+/-): UnitCellsi 2 2 2
COF-1, 0.332578, 0.001071
Cd3BTB2, 0.599988, 0.000507
Co-DOBDC, 0.701593, 0.000960
CoBDP-Dubbeldam, 0.659606, 0.000898
CoBDP, 0.669159, 0.000293
Cu-BTC, 0.746093, 0.000732
IRMOF-1, 0.803540, 0.000576
IRMOF-10, 0.893024, 0.000653
IRMOF-16, 0.919392, 0.000486
MAF-X8, 0.494488, 0.000409
MIL-100-primitive, 0.712442, 0.000778
MIL-47, 0.603381, 0.000501
MOF-177, 0.834736, 0.000676
MOF-210, 0.904886, 0.000369
Mg-DOBDC, 0.720379, 0.000957
MgMOF-74, 0.713021, 0.000888
NU-100SP-primitive, 0.896189, 0.000386
Ni-DOBDC, 0.689945, 0.000776
PCN-60, 0.824281, 0.000526
UIO-66, 0.496270, 0.000487
UMCM-1, 0.866321, 0.000364
ZIF-8, 0.484071, 0.000860
ZIF-90, 0.507269, 0.000572
ZnBDC, 0.511603, 0.000474
ZnBDCdabco, 0.628993, 0.000721
ZnMOF-74, 0.710342, 0.000977
Zr-TPDC, 0.763537, 0.000502
