P/P0, excess[cm3 (STP)/gr framework]
0.0000000010,     0.000000 
0.0000000099,     0.000000 
0.0000000987,     0.000000 
0.0000009869,     0.000000 
0.0000098692,     0.000000 
0.0000986923,     0.000244 
0.0009869233,     0.012930 
0.0098692327,     0.915582 
0.0986923267,    22.263303 
0.1480384900,    33.774313 
0.1973846533,    43.433178 
0.2467308167,    52.502148 
0.2960769800,    63.414479 
0.3454231434,    75.309970 
0.3947693067,    82.173297 
0.4441154700,    90.514046 
0.4934616334,    98.998244 
0.5428077967,   109.923993 
0.5921539600,   121.709458 
0.6415001234,   127.806506 
0.6908462867,   137.645414 
0.7401924500,   140.940338 
0.7895386134,   154.122230 
0.8388847767,   158.740149 
0.8882309400,   170.036229 
0.9375771034,   176.285997 
